si NO,links,Product description,
1,https://www.meesho.com/thevinegirl-festival-special-earring-combo-allure-silver-earring-combo-stud-earring-in-silver-plated-for-women-girls/p/6dnqvu?entry=pdp&source=size-selection,https://amzn.to/4fKWy6I,
2,https://www.meesho.com/five-petal-flower-pearl-earrings-for-women-and-girls/p/6t3re9,https://amzn.to/4fEPcBS,
3,https://www.meesho.com/s/p/5paj0i?utm_source=s_w,https://amzn.to/3Z88bzh,
4,https://www.meesho.com/korean-hair-clips-barrettes-pins-for-women-geometric-shape-hollow-hairpin-korean-clips-hair-clip-clamps-pearl-metal-clip-combo-pack-of-8-random-design/p/3fg1h5,https://amzn.to/3CvuAh1,
5,https://www.meesho.com/jst-10-pcs-super-trending-black-and-white-hair-clips-pack-of-10-pcs/p/3tll2r,https://amzn.to/3CFU9f6,
6,https://www.meesho.com/korean-clip-hair-clip-clamps-pearl-metal-combo-pack-of-8/p/6ahogj,https://myntr.it/h2V6pRJ,
7,https://www.meesho.com/starvis-metal-plastic-korean-fancy-bling-for-girls-women-kids-hair-accessories-pearl-resin-acrylic-hair-clips-rhinestone-hairpins-set-of-4/p/6yszjv,https://myntr.it/GT6UcxX,
8,https://www.meesho.com/blingee-palm-tree-leaves-earrings-latest-trendy-earrings-for-women-girls-korean-western-stylish-fancy-light-weight-designer-shiny-party-casual-fashion-earring/p/5i63wq,https://myntr.it/6kiOr0a,
9,https://www.meesho.com/mirror-work-dangle-drop-for-wooman-and-girl/p/4vo3c8,https://amzn.to/3O9FxYc,
10,https://www.meesho.com/korean-earrings-for-women-long-earing-for-girlsearings-for-womenpearl-earringskorean-earrings/p/6b1pir,https://amzn.to/3YRuqYz,
11,https://www.meesho.com/allure-graceful-jewellery-sets/p/2gyd95,https://amzn.to/3YJJ2JE,
12,https://www.meesho.com/korean-design-flower-dropp-hoop-earrings/p/7ggvt3,https://myntr.it/6KcKqho,
13,https://www.meesho.com/blingee-pearls-white-flower-earrings-for-women-floral-earrings-korean-earrings-earrings/p/72sd3b,NA,
14,https://www.meesho.com/destiny-jewels-gold-plated-korean-style-stone-decor-do-letter-with-white-flower-decor-earrings-for-women-girls/p/3u4jte,https://amzn.to/4fNADLY,
15,https://www.meesho.com/suyugs-red-wine-colour-bow-flower-flocking-stud-earrings-for-women-and-girls/p/6jvywn,NA,
16,https://www.meesho.com/modern-earrings-studs/p/yzyu8,https://myntr.it/Ue35elt,
17,https://www.meesho.com/combo-pack-of-2-korean-stud-earrings-for-women-and-girls/p/6thog0,https://amzn.to/4hSahdG,
18,https://www.meesho.com/combo-pack-of-2-korean-stud-earrings-for-women-and-girls/p/6tggln,https://amzn.to/48PpgBc,
19,https://www.meesho.com/combo-pack-of-2-korean-stud-earrings-for-women-and-girls/p/7cl9zj,https://amzn.to/40Rc5h1,
20,https://www.meesho.com/trendy-heart-bowknot-round-pearl-drop-earrings-for-women-and-girls/p/6uksx2,https://amzn.to/3UUsJZj,
21,https://www.meesho.com/twinkling-unique-earrigs/p/1p4bw9,https://myntr.it/hI5TojD,
22,https://www.meesho.com/graceful-earring-and-studs/p/33zyax,https://myntr.it/NMaiRAJ,
23,https://www.meesho.com/2-pair-fashionable-stylish-chapa-flower-earrings-set-for-wedding-party-bridal-haldi-mehndi-baby-shower-marriage-festive-season/p/1hdks6,NA,
24,https://www.meesho.com/charming-partywear-korean-earring-for-women-and-girls/p/75f3tv,NA,
25,https://www.meesho.com/western-beautiful-angel-wing-drop-earring-with-ear-clip-for-woman/p/72mbc2,https://myntr.it/b28yKIq,
26,https://www.meesho.com/suyugs-heart-and-pearl-long-tassel-trendy-earrings-for-women-and-girls/p/6p39vk,NA,
27,https://www.meesho.com/fashionable-western-stylish-earrings-set-girls-and-women/p/3gp37e,https://myntr.it/iR20CAH,
28,https://www.meesho.com/fancy-earring-for-girls-and-women/p/6d17i4,NA,
29,https://www.meesho.com/fancy-earring-for-girls-and-women/p/6n8fxr,NA,
30,https://www.meesho.com/korean-red-flower-drop-earrings-for-women-girls-western-trendy-party-wear-stylish-latest-design-casual-fancy-party-office-wear-daily-wear-drops-danglers-earrings-gift-for-birthday-wedding-anniversary-valentine-gift-new-year-diwali-gift-christmas-for-all-occasions/p/126p53,,
31,https://www.meesho.com/korean-purple-floral-drop-earrings-for-women-girls-western-trendy-party-wear-stylish-latest-design-casual-fancy-party-office-wear-daily-wear-drops-danglers-earrings-gift-for-birthday-wedding-anniversary-valentine-gift-new-year-diwali-gift-christmas-for-all-occasions/p/126p52,,
32,https://www.meesho.com/blingee-long-floral-hoop-drop-earing-earrings-for-women-girls-korean-earring/p/6w3qk1,,
33,https://www.meesho.com/fashionable-western-stylish-18k-gold-earrings/p/4yc6lz,,
34,https://www.meesho.com/styles-earrings-studs/p/51qjo3,,
35,https://www.meesho.com/styles-earrings-studs/p/51qjo3,,
36,https://www.meesho.com/trendy-western-stylish-beautiful-princess-white-pearl-stud-earrings/p/5l65b1,,
37,https://www.meesho.com/korean-earrings-multicolor-regine-stone-stud-for-women-girls-party-wear-western-trendy-light-wight-stylish-latest-design-casual-fancy-party-office-wear-daily-wear-stud-earrings-gift-for-birthday-wedding-anniversary-valentine-gift-new-year-diwali-gift-christmas-for-all-occasions/p/6i5n1v,,
38,https://www.meesho.com/blingee-high-quality-imported-korean-earrings-for-women-girls-green/p/6xuso6,,
39,https://www.meesho.com/high-quality-imported-korean-earrings-for-women-girls-pink/p/6xfqj0,,
40,https://www.meesho.com/shashi-white-flower-earrings-for-women-floral-earrings-for-women-korean-earrings-fashion-earring-light-weight-shiny-party-casual-trendy-stylish-fancy/p/716afq,,
41,https://www.meesho.com/earrings-for-women-girls-grapes-fruit-korean-earring-western-fashion-earring-light-weight-shiny-party-casual-trendy-stylish-fancy/p/6a8mc3,,
42,https://www.meesho.com/purple-palm-tree-leaves-earrings-for-women-girls-korean-western-stylish-fancy-light-weight-designer-shiny-party-casual-fashion-earring-trendy-earring/p/5s982v,,
43,https://www.meesho.com/stainless-steel-floral-studs-for-women-and-girls/p/78bda0,,
44,https://www.meesho.com/pink-white-double-flower-earrings-for-women-floral-earrings-for-women-korean-earrings-fashion-earring-light-weight-shiny-party-casual-trendy-stylish-fancy/p/7chxja,,
45,https://www.meesho.com/lisa-asymmetric-blue-exaggerated-earrings/p/7av34p,,
46,https://www.meesho.com/blingee-asymmetrical-earrings-for-women-girls-korean-earring-western-fashion-earring-light-weight-shiny-party-casual-trendy-stylish-fancy/p/6bfin3,,
47,https://www.meesho.com/blingee-new-korean-pearl-stud-earring-drop-earrings-for-women-girls-fancy-stylish-trendy-designer-ear-rings-white/p/4zq9mc,,
48,https://www.meesho.com/new-korean-trendy-white-colour-butterfly-earrings-for-women-and-girls/p/6wg9lc,,
49,https://www.meesho.com/new-flower-korean-earrings-for-women-and-girls/p/6hitii,,
51,https://www.meesho.com/thunder-creation-traditional-trending-antique-silver-oxidised-finger-rings-combo-set/p/3z4zb2,,
52,https://www.meesho.com/vembley-silver-plated-15-piece-multi-designs-ring-set-for-women-and-girls/p/186pve,,
53,https://www.meesho.com/best-raksha-bandhan-gift-trendy-gold-plated-set-of-24-contemporary-stackable-rings-set/p/5agq45,,
54,https://www.meesho.com/jewels-galaxy-jewellery-for-women-gold-plated-rings-combo/p/1ei71o,,
55,https://www.meesho.com/gold-plated-8-piece-white-crystal-drop-heart-multi-designs-ring-set-for-women-girls/p/q2vrp,,
56,https://www.meesho.com/jewels-jewellery-for-women-gold-plated-contemporary-stackable-rings-set-of-13/p/3bp6uk,,
57,https://www.meesho.com/jewels-galaxy-gold-plated-set-of-23-stackable-rings/p/6ufj1u,,
58,https://www.meesho.com/iru-creation-beautiful-ring-finger/p/49cye3,,
59,https://www.meesho.com/oxidized-silver-plated-ring-for-woman-girls-new-ring-double-ring-brass-ring-girls-ring-for-woman-girls/p/6poqzd,,
60,https://www.meesho.com/oxidized-silver-plated-ring-for-woman-ring-new-ring-artificial-ring-for-woman/p/6mppqu,,
61,https://www.meesho.com/rings-fancy-party-wear-womens-rings-combo-pack-of/p/5j0xvv,,
62,https://www.meesho.com/elite-glittering-women-ring/p/3l9yap,,
63,https://www.meesho.com/elite-silver-chunky-rings/p/5ax3w2,,
64,https://www.meesho.com/new-design-allure-glittering-ring/p/6cmhk7,,
65,https://www.meesho.com/women-elegant-austrian-crystal-platinum-plated-adjustable-ring-for-women-and-girls/p/5yotb8,,
66,https://www.meesho.com/pse-blingee-butterflly-chain-ad-stone-diamond-ring/p/7cxcy9,,
67,https://www.meesho.com/valentine-gift-from-jewels-galaxy-gold-plated-set-of-5-stackable-rings/p/6v0e79,,
68,https://www.meesho.com/thevinegirl-stunning-gold-plated-ad-multi-desigsn-adjustable-rings-combo-for-women-girls/p/7c06wc,,
69,https://www.meesho.com/vassaley-shiny-purple-color-glass-butterfly-crystal-butterfly-ring-for-girls-gif/p/779tsl,,
70,https://www.meesho.com/twinkling-fancy-rings/p/3jcxf6,,
71,https://www.meesho.com/adjustable-silver-ring/p/6cxkwx,,
72,https://www.meesho.com/turtle-blue-evil-eye-protection-finger-ring-tortoise-evil-eye-ring-adjustable-finger-ringprotection-ring-for-unisex-finger-jewelrynazar-jewelry-blue/p/75g2ye,,
73,https://www.meesho.com/diva-graceful-womens-finger-rings/p/3fcv4,,
74,https://www.meesho.com/jewels-galaxy-gold-plated-set-of-7-stackable-rings/p/6uywdp,,
75,https://www.meesho.com/allure-fancy-rings/p/fmqd9,,
76,https://www.meesho.com/silver-polished-couple-rings-set-adjustable-women-rings-men-rings-proposal-rings-marriage-rings-daily-wear-fashion-wear-rings/p/4xul7s,,
77,https://www.meesho.com/allure-charming-rings/p/3iitfu,,
78,https://www.meesho.com/king-and-queen-lovers-valentine-couple-ring-alloy-cubic-zirconia-sterling-silver-plated-ring-set/p/5ythxm,,
